business_code,cust_number,name_customer,clear_date,buisness_year,doc_id,posting_date,document_create_date,document_create_date.1,due_in_date,invoice_currency,document type,posting_id,total_open_amount,baseline_create_date,cust_payment_terms,invoice_id,isOpen,Predicted_date
U001,0200029010,KROG ,,2020.0,1930582584.0,2020-02-28,2020-02-29,2020-02-28,2020-03-14,USD,RV,1.0,10318.0,2020-02-28,NAA8,1930582584.0,1,2020-03-15
U001,0200418007,AM corporation,,2020.0,1930846389.0,2020-05-04,2020-05-02,2020-05-04,2020-05-19,USD,RV,1.0,15452.12,2020-05-04,NAA8,1930846389.0,1,2020-05-20
CA02,0140104409,LOB corporation,,2020.0,2960622240.0,2020-03-23,2020-03-24,2020-03-23,2020-04-03,CAD,RV,1.0,25182.72,2020-03-24,CA10,2960622240.0,1,2020-04-07
CA02,0140104249,SOB foundation,,2020.0,2960623692.0,2020-03-29,2020-03-29,2020-03-29,2020-04-16,CAD,RV,1.0,36490.35,2020-04-06,CA10,2960623692.0,1,2020-04-20
U001,0200744019,TARG systems,,2020.0,1930826740.0,2020-04-27,2020-04-25,2020-04-27,2020-05-12,USD,RV,1.0,1140.26,2020-04-27,NAA8,1930826740.0,1,2020-05-13
U001,0200769623,WAL-MAR corp,,2020.0,1930857050.0,2020-05-05,2020-05-04,2020-05-05,2020-05-20,USD,RV,1.0,8022.47,2020-05-05,NAH4,1930857050.0,1,2020-05-18
U001,0200769623,WAL-MAR llc,,2020.0,1930764036.0,2020-04-10,2020-04-08,2020-04-10,2020-04-25,USD,RV,1.0,55837.0,2020-04-10,NAH4,1930764036.0,1,2020-04-23
U001,0200769623,WAL-MAR corporation,,2020.0,1930883136.0,2020-05-10,2020-05-09,2020-05-10,2020-05-25,USD,RV,1.0,19111.13,2020-05-10,NAH4,1930883136.0,1,2020-05-23
U001,0200772670,ASSOCIAT ,,2020.0,1930801139.0,2020-04-18,2020-04-18,2020-04-18,2020-05-03,USD,RV,1.0,161770.51,2020-04-18,NAU5,1930801139.0,1,2020-05-01
U001,0200796828,CSM BAK us,,2020.0,1930788005.0,2020-04-16,2020-04-14,2020-04-16,2020-05-16,USD,RV,1.0,58852.0,2020-04-16,NAD5,1930788005.0,1,2020-05-20
U001,0200416837,DEC trust,,2020.0,1930753930.0,2020-04-06,2020-04-06,2020-04-06,2020-04-24,USD,RV,1.0,607.8,2020-04-01,NAM4,1930753930.0,1,2020-04-22
U001,0200762301,C&S WH in,,2020.0,1930751601.0,2020-04-05,2020-04-05,2020-04-05,2020-04-20,USD,RV,1.0,122192.54,2020-04-05,NAC6,1930751601.0,1,2020-04-21
U013,0100011958,IND co,,2020.0,1991839680.0,2020-03-06,2020-03-04,2020-03-06,2020-04-20,USD,RV,1.0,59865.38,2020-03-06,NAVF,1991839680.0,1,2020-04-18
U001,0200743123,KROGER associates,,2020.0,1930768031.0,2020-04-09,2020-04-09,2020-04-09,2020-04-24,USD,RV,1.0,64679.1,2020-04-09,NAA8,1930768031.0,1,2020-04-25
U001,0200749225,SUPER  ,,2020.0,1930832137.0,2020-04-29,2020-04-28,2020-04-29,2020-05-14,USD,RV,1.0,102836.9,2020-04-29,NAA8,1930832137.0,1,2020-05-15
U001,0200769623,WAL-MAR foundation,,2020.0,1930808649.0,2020-04-21,2020-04-21,2020-04-21,2020-05-06,USD,RV,1.0,2635.84,2020-04-21,NAH4,1930808649.0,1,2020-05-04
U001,0200418007,AM associates,,2020.0,1930802079.0,2020-04-20,2020-04-20,2020-04-20,2020-06-24,USD,RV,1.0,23724.36,2020-04-20,NAGD,1930802079.0,1,2020-05-23
U001,0200706844,WINC llc,,2020.0,1930717146.0,2020-03-29,2020-03-29,2020-03-29,2020-04-13,USD,RV,1.0,20711.07,2020-03-29,NAA8,1930717146.0,1,2020-04-14
U001,0200769623,WAL-MAR trust,,2020.0,1930826552.0,2020-04-25,2020-04-25,2020-04-25,2020-05-10,USD,RV,1.0,45255.3,2020-04-25,NAH4,1930826552.0,1,2020-05-08
U001,0200726979,BJ'S  foundation,,2020.0,1930592410.0,2020-03-03,2020-03-02,2020-03-03,2020-03-18,USD,RV,1.0,162.52,2020-03-03,NAA8,1930592410.0,1,2020-03-19
U001,0200744019,TARG foundation,,2020.0,1930776794.0,2020-04-11,2020-04-11,2020-04-11,2020-04-26,USD,RV,1.0,11213.77,2020-04-11,NAA8,1930776794.0,1,2020-04-27
U001,0200792734,MDV/ corporation,,2020.0,1930780874.0,2020-04-13,2020-04-13,2020-04-13,2020-04-28,USD,RV,1.0,60446.41,2020-04-13,NAA8,1930780874.0,1,2020-04-29
U001,0200799367,MCL co,,2020.0,1930778476.0,2020-04-15,2020-04-11,2020-04-15,2020-04-30,USD,RV,1.0,29234.42,2020-04-15,NAA8,1930778476.0,1,2020-05-01
U001,0200707822,PUBLI associates,,2020.0,1930593735.0,2020-03-06,2020-03-03,2020-03-06,2020-03-21,USD,RV,1.0,151716.23,2020-03-06,NAA8,1930593735.0,1,2020-03-22
